state,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,hypothetical_savings
NJ,Ambien,27705,521013.38,18.81,Zolpidem Tartrate,7702640,1877440.75,0.24,0.358393,514481.85
NM,Ambien,1800,47292.06,26.27,Zolpidem Tartrate,1133696,266243.16,0.23,0.158521,46872.0
NY,Ambien,112712,2175164.32,19.3,Zolpidem Tartrate,17459672,4178100.34,0.24,0.641416,2148290.72
NC,Ambien,12704,234050.75,18.42,Zolpidem Tartrate,10194296,2428701.03,0.24,0.124464,230958.72
ND,Ambien,1048,26540.75,25.33,Zolpidem Tartrate,486683,101248.92,0.21,0.214873,26325.76
OH,Ambien,8968,175249.67,19.54,Zolpidem Tartrate,8038394,1754283.95,0.22,0.11144,173261.76
OK,Ambien,2590,48534.47,18.74,Zolpidem Tartrate,3209524,682528.2,0.21,0.080632,47992.7
OR,Ambien,2280,38291.23,16.79,Zolpidem Tartrate,2651157,534049.71,0.2,0.085926,37825.2
PA,Ambien,16646,313683.24,18.84,Zolpidem Tartrate,10402128,2250782.79,0.22,0.159769,309948.52
RI,Ambien,2430,41081.28,16.91,Zolpidem Tartrate,962908,220156.92,0.23,0.251725,40532.4
SC,Ambien,12028,245217.81,20.39,Zolpidem Tartrate,6483255,1535434.98,0.24,0.185181,242364.2
SD,Ambien,210,4027.8,19.18,Zolpidem Tartrate,657063,152785.01,0.23,0.03195,3979.5
TN,Ambien,4320,80965.6,18.74,Zolpidem Tartrate,7051688,1522895.53,0.22,0.061224,80006.4
TX,Ambien,17455,380344.37,21.79,Zolpidem Tartrate,17490347,3928313.1,0.22,0.099698,376504.35
UT,Ambien,2280,51237.95,22.47,Zolpidem Tartrate,2968355,715756.02,0.24,0.076751,50684.4
VT,Ambien,1440,27704.36,19.24,Zolpidem Tartrate,487304,110666.05,0.23,0.294633,27374.4
VA,Ambien,7348,143335.62,19.51,Zolpidem Tartrate,5045981,1120716.33,0.22,0.145409,141742.92
WA,Ambien,3567,66494.07,18.64,Zolpidem Tartrate,3832892,857642.04,0.22,0.092976,65704.14
WV,Ambien,1414,26926.14,19.04,Zolpidem Tartrate,1700025,354923.12,0.21,0.083106,26625.62
WI,Ambien,9154,181043.69,19.78,Zolpidem Tartrate,4182842,1004769.7,0.24,0.218369,178869.16
WY,Ambien,0,0,N/A,Zolpidem Tartrate,416342,106352.7,0.26,0.0,N/A
