state,year,brand_name,generic_name,sum_total_day_supply,sum_total_drug_cost,avg_drug_cost
AK,2015,"Humira Pen",Adalimumab,9598,1255131.21875,130.77007905292768
AK,2014,Humira,Adalimumab,12291,1288078.494140625,104.79851062896631
AK,2013,Humira,Adalimumab,9751,838072.0546875,85.94729306609578
AK,2020,Lipitor,"Atorvastatin Calcium",6310,81597.3017578125,12.931426586024168
AK,2019,Lipitor,"Atorvastatin Calcium",4855,58416.2802734375,12.032189551686406
AK,2013,Lipitor,"Atorvastatin Calcium",1150,6725.4298095703125,5.848199834408967
AK,2014,Lipitor,"Atorvastatin Calcium",77,63.95000076293945,0.8305194904277851
AK,2013,"Atorvastatin Calcium","Atorvastatin Calcium",826947,531089.5000305176,0.6422291876390114
AK,2014,"Atorvastatin Calcium","Atorvastatin Calcium",1053230,512523.1405181885,0.4866203398290862
AK,2015,"Atorvastatin Calcium","Atorvastatin Calcium",1357944,584760.7798423767,0.43062216103342754
AK,2016,"Atorvastatin Calcium","Atorvastatin Calcium",1667456,678864.2400016785,0.4071257292556316
AK,2019,"Atorvastatin Calcium","Atorvastatin Calcium",4115891,1383262.8895187378,0.33607860108995546
AK,2018,"Atorvastatin Calcium","Atorvastatin Calcium",2355078,771906.8007888794,0.3277627326096543
AK,2017,"Atorvastatin Calcium","Atorvastatin Calcium",1983631,645813.4575824738,0.3255713676497664
AK,2020,"Atorvastatin Calcium","Atorvastatin Calcium",4612720,1292483.2949180603,0.2801998159259743
AK,2015,Aricept,"Donepezil Hcl",351,6398.89990234375,18.230484052261396
AK,2017,Aricept,"Donepezil Hcl",364,6476.080078125,17.791428786057693
AK,2016,Aricept,"Donepezil Hcl",727,12740.08984375,17.52419510832187
AK,2014,Aricept,"Donepezil Hcl",330,4404.259765625,13.346241714015152
AK,2013,Aricept,"Donepezil Hcl",1007,11045.779907226562,10.968996928725485
AK,2013,"Donepezil Hcl Odt","Donepezil Hcl",1699,2465.9800033569336,1.451430255065882
AK,2020,"Donepezil Hcl Odt","Donepezil Hcl",210,183.91000366210938,0.8757619222005208
AK,2014,"Donepezil Hcl","Donepezil Hcl",115631,100228.93012237549,0.8667998211757703
AK,2015,"Donepezil Hcl","Donepezil Hcl",114342,98905.49950408936,0.8649971095843116
AK,2013,"Donepezil Hcl","Donepezil Hcl",120237,93967.69990158081,0.7815206625379942
AK,2016,"Donepezil Hcl","Donepezil Hcl",106411,78826.06985855103,0.740769937868745
AK,2018,"Donepezil Hcl Odt","Donepezil Hcl",210,122.66999816894531,0.5841428484235491
AK,2017,"Donepezil Hcl","Donepezil Hcl",111811,65200.840003967285,0.5831343964723263
AK,2019,"Donepezil Hcl","Donepezil Hcl",168189,85067.1693649292,0.5057831925091962
AK,2014,"Donepezil Hcl Odt","Donepezil Hcl",840,422.34999084472656,0.502797608148484
AK,2018,"Donepezil Hcl","Donepezil Hcl",116052,56825.49998474121,0.48965549912747053
AK,2017,"Donepezil Hcl Odt","Donepezil Hcl",663,298.6599884033203,0.45046755415282097
AK,2020,"Donepezil Hcl","Donepezil Hcl",168193,75140.3603439331,0.44675081807169803
AK,2016,"Donepezil Hcl Odt","Donepezil Hcl",360,159.60000610351562,0.4433333502875434
AK,2015,"Donepezil Hcl Odt","Donepezil Hcl",390,172.89999389648438,0.44333331768329326
AK,2020,"Enbrel Sureclick",Etanercept,3820,794801.0859375,208.06311150196336
AK,2020,Enbrel,Etanercept,3040,613701.8359375,201.87560392680922
AK,2020,"Enbrel Mini",Etanercept,476,95811.6796875,201.28504136029412
AK,2019,"Enbrel Mini",Etanercept,308,59443.19921875,192.99740006087663
AK,2018,"Enbrel Sureclick",Etanercept,2158,401626.7578125,186.11063846733086
AK,2019,"Enbrel Sureclick",Etanercept,4895,904906.296875,184.8633905771195
AK,2019,Enbrel,Etanercept,5516,1005475.86328125,182.2835140103789
AK,2018,Enbrel,Etanercept,3306,552229.12890625,167.03845399463097
AK,2017,"Enbrel Sureclick",Etanercept,2476,407247.36328125,164.47793347384896
AK,2017,Enbrel,Etanercept,2436,391748.515625,160.8163036227422
AK,2016,Enbrel,Etanercept,6200,975232.125,157.29550403225807
AK,2015,Enbrel,Etanercept,7319,915135.408203125,125.03557975175912
AK,2014,Enbrel,Etanercept,10275,1020817.703125,99.3496548053528
AK,2013,Enbrel,Etanercept,9580,839248.767578125,87.60425548832202
AK,2019,Zoloft,"Sertraline Hcl",322,7676.5400390625,23.840186456715838
AK,2018,Zoloft,"Sertraline Hcl",390,8814.08984375,22.600230368589745
AK,2020,Zoloft,"Sertraline Hcl",1032,18836.5,18.252422480620154
AK,2016,Zoloft,"Sertraline Hcl",330,5086.89990234375,15.414848188920455
AK,2015,Zoloft,"Sertraline Hcl",330,4280.10009765625,12.970000295928031
AK,2013,Zoloft,"Sertraline Hcl",360,3518.760009765625,9.77433336046007
AK,2013,"Sertraline Hcl","Sertraline Hcl",272646,114318.7901096344,0.41929384663495667
AK,2014,"Sertraline Hcl","Sertraline Hcl",293487,123045.94976425171,0.4192551961901267
AK,2015,"Sertraline Hcl","Sertraline Hcl",275094,97510.84011077881,0.354463710988894
AK,2016,"Sertraline Hcl","Sertraline Hcl",324262,99301.42991542816,0.3062382576910898
AK,2019,"Sertraline Hcl","Sertraline Hcl",513578,147189.7890701294,0.2865967566175525
AK,2020,"Sertraline Hcl","Sertraline Hcl",538967,151049.75996017456,0.28025790068812106
AK,2017,"Sertraline Hcl","Sertraline Hcl",343334,93799.66975784302,0.2732023911347056
AK,2018,"Sertraline Hcl","Sertraline Hcl",372896,97025.11004638672,0.2601934857075075
AK,2020,Trintellix,"Vortioxetine Hydrobromide",25250,337512.75390625,13.366841738861385
AK,2018,Trintellix,"Vortioxetine Hydrobromide",9579,127708.37133789062,13.332119358794303
AK,2019,Trintellix,"Vortioxetine Hydrobromide",17884,235924.09204101562,13.191908523876965
AK,2017,Trintellix,"Vortioxetine Hydrobromide",10360,125115.37060546875,12.076773224466095
AK,2016,Trintellix,"Vortioxetine Hydrobromide",3959,43499.629638671875,10.9875295879444
AK,2016,Brintellix,"Vortioxetine Hydrobromide",3214,34615.33093261719,10.770171416495703
AK,2015,Brintellix,"Vortioxetine Hydrobromide",4343,46580.890625,10.72551016002763
AK,2014,Brintellix,"Vortioxetine Hydrobromide",1122,9823.830322265625,8.75564199845421
AK,2019,Ambien,"Zolpidem Tartrate",822,16325.19970703125,19.860340276193735
AK,2020,Ambien,"Zolpidem Tartrate",350,6839.39990234375,19.541142578125
AK,2020,"Ambien Cr","Zolpidem Tartrate",360,6569.759765625,18.249332682291666
AK,2017,"Ambien Cr","Zolpidem Tartrate",780,13677.4599609375,17.535205078125
AK,2018,"Ambien Cr","Zolpidem Tartrate",390,6822.89990234375,17.494615134214744
AK,2019,"Ambien Cr","Zolpidem Tartrate",360,6216.009765625,17.266693793402776
AK,2016,"Ambien Cr","Zolpidem Tartrate",330,5512.240234375,16.703758285984847
AK,2015,"Ambien Cr","Zolpidem Tartrate",750,10272.06982421875,13.696093098958332
AK,2015,Ambien,"Zolpidem Tartrate",330,4488.18017578125,13.60054598721591
AK,2013,Ambien,"Zolpidem Tartrate",720,9059.749755859375,12.582985772026909
AK,2014,"Ambien Cr","Zolpidem Tartrate",750,8311.800048828125,11.082400065104167
AK,2014,Ambien,"Zolpidem Tartrate",330,3506.2099609375,10.624878669507575
AK,2013,"Ambien Cr","Zolpidem Tartrate",360,3197.699951171875,8.88249986436632
AK,2013,"Zolpidem Tartrate Er","Zolpidem Tartrate",13500,47908.64013671875,3.548788158275463
AK,2014,"Zolpidem Tartrate Er","Zolpidem Tartrate",9167,26843.949951171875,2.9283244192398685
AK,2015,"Zolpidem Tartrate Er","Zolpidem Tartrate",11749,33905.92025756836,2.8858558394389617
AK,2018,"Zolpidem Tartrate Er","Zolpidem Tartrate",4514,6794.660003662109,1.505241471790454
AK,2016,"Zolpidem Tartrate Er","Zolpidem Tartrate",6448,8759.130020141602,1.35842587161005
AK,2019,"Zolpidem Tartrate Er","Zolpidem Tartrate",17950,22898.190055847168,1.2756651841697586
AK,2017,"Zolpidem Tartrate Er","Zolpidem Tartrate",3701,4495.139991760254,1.214574437114362
AK,2020,"Zolpidem Tartrate Er","Zolpidem Tartrate",21567,25312.830001831055,1.1736834052872933
AK,2015,"Zolpidem Tartrate","Zolpidem Tartrate",235004,99496.88980293274,0.423383813905009
AK,2016,"Zolpidem Tartrate","Zolpidem Tartrate",198517,79025.98986625671,0.3980817253245652
AK,2017,"Zolpidem Tartrate","Zolpidem Tartrate",188975,51076.32996559143,0.2702808835326971
AK,2014,"Zolpidem Tartrate","Zolpidem Tartrate",255363,65132.68995666504,0.2550592292409826
AK,2018,"Zolpidem Tartrate","Zolpidem Tartrate",173550,42550.71004867554,0.24517839267459254
AK,2019,"Zolpidem Tartrate","Zolpidem Tartrate",255636,54626.299938201904,0.21368782150480334
AK,2013,"Zolpidem Tartrate","Zolpidem Tartrate",276535,58398.229736328125,0.21117843938860587
AK,2020,"Zolpidem Tartrate","Zolpidem Tartrate",250876,52218.960043907166,0.20814649485764747
AL,2017,"Humira Pen Psoriasis-Uveitis",Adalimumab,366,112326.8984375,306.90409409153006
AL,2020,"Humira(Cf) Pen",Adalimumab,189048,44568588.328125,235.75276293917418
AL,2020,"Humira Pen",Adalimumab,63630,14473022.359375,227.45595409987428
AL,2020,Humira(Cf),Adalimumab,11730,2608258.45703125,222.35792472559677
AL,2020,Humira,Adalimumab,12640,2790037.53125,220.73081734572784
AL,2019,"Humira(Cf) Pen",Adalimumab,120068,25974951.328125,216.33533770967284
AL,2019,"Humira Pen",Adalimumab,121264,26165906.90234375,215.7763796538441
AL,2019,Humira(Cf),Adalimumab,7574,1623334.3828125,214.3298630594798
AL,2019,Humira,Adalimumab,19861,3957919.78515625,199.2809921532778
AL,2018,"Humira Pen",Adalimumab,223295,44009249.578125,197.0901703044179
AL,2018,Humira,Adalimumab,34783,6490102.03125,186.58833427967684
AL,2018,"Humira(Cf) Pen",Adalimumab,2158,393480.86328125,182.33589586712233
AL,2017,"Humira Pen",Adalimumab,202316,35456677.19140625,175.25394527079544
AL,2017,Humira,Adalimumab,36049,6233182.1484375,172.9086007500208
AL,2016,"Humira Pen",Adalimumab,189689,28867124.453125,152.1813307736611
AL,2016,Humira,Adalimumab,38064,5789536.8046875,152.10006317485025
AL,2015,Humira,Adalimumab,39525,4959063.484375,125.46650181846933
AL,2015,"Humira Pen",Adalimumab,164129,20311325.609375,123.75220472539893
AL,2014,Humira,Adalimumab,202826,20860684.609375,102.85015042142032
AL,2013,Humira,Adalimumab,180179,16097309.30859375,89.34065184396489
AL,2020,Lipitor,"Atorvastatin Calcium",360,5523.60009765625,15.343333604600694
AL,2019,Lipitor,"Atorvastatin Calcium",990,14484.08984375,14.630393781565656
AL,2018,Lipitor,"Atorvastatin Calcium",1437,14315.920166015625,9.96236615589118
AL,2016,Lipitor,"Atorvastatin Calcium",3351,30347.81005859375,9.056344392298941
AL,2015,Lipitor,"Atorvastatin Calcium",4710,35709.610107421875,7.581658196904857
AL,2017,Lipitor,"Atorvastatin Calcium",1440,10904.360107421875,7.572472296820747
AL,2014,Lipitor,"Atorvastatin Calcium",5063,32626.590408325195,6.444122142667429
AL,2013,Lipitor,"Atorvastatin Calcium",16149,92625.21984863281,5.735662879969832
AL,2013,"Atorvastatin Calcium","Atorvastatin Calcium",20010796,13514664.799118042,0.6753686759446272
AL,2014,"Atorvastatin Calcium","Atorvastatin Calcium",25520476,10825705.73480697,0.4241968580369335
AL,2015,"Atorvastatin Calcium","Atorvastatin Calcium",31198538,10714254.028689422,0.34342167022984926
AL,2016,"Atorvastatin Calcium","Atorvastatin Calcium",37112857,10496366.9972229,0.28282293107272505
AL,2017,"Atorvastatin Calcium","Atorvastatin Calcium",42403011,11099335.261528015,0.2617581865006713
AL,2018,"Atorvastatin Calcium","Atorvastatin Calcium",48063456,12463476.960639954,0.2593129582824829
AL,2019,"Atorvastatin Calcium","Atorvastatin Calcium",53164300,13507171.609100342,0.25406469396005105
AL,2020,"Atorvastatin Calcium","Atorvastatin Calcium",58653153,11734596.133274078,0.20006760989087966
AL,2018,Aricept,"Donepezil Hcl",690,12498.3095703125,18.113492130887682
AL,2019,Aricept,"Donepezil Hcl",360,6455.080078125,17.930777994791665
AL,2020,Aricept,"Donepezil Hcl",346,6179.93017578125,17.861069872200144
AL,2017,Aricept,"Donepezil Hcl",1080,18802,17.409259259259258
AL,2016,Aricept,"Donepezil Hcl",976,16630.61962890625,17.03956929191214
AL,2015,Aricept,"Donepezil Hcl",1494,23115.350341796875,15.472122049395498
AL,2014,Aricept,"Donepezil Hcl",3786,51088.809814453125,13.49413888390204
AL,2013,Aricept,"Donepezil Hcl",37385,395578.31994628906,10.58120422485727
AL,2013,"Donepezil Hcl Odt","Donepezil Hcl",11082,22829.49974822998,2.060052314404438
AL,2020,"Donepezil Hcl Odt","Donepezil Hcl",5272,9876.040161132812,1.8733004857990918
AL,2014,"Donepezil Hcl Odt","Donepezil Hcl",10187,18381.34001159668,1.8043918731320978
AL,2015,"Donepezil Hcl Odt","Donepezil Hcl",14728,25216.319988250732,1.7121347085993164
AL,2019,"Donepezil Hcl Odt","Donepezil Hcl",7104,9324.350021362305,1.3125492710250992
AL,2016,"Donepezil Hcl Odt","Donepezil Hcl",16476,21564.23007965088,1.308826783178616
AL,2017,"Donepezil Hcl Odt","Donepezil Hcl",9838,12774.799942016602,1.2985159526343364
AL,2018,"Donepezil Hcl Odt","Donepezil Hcl",9922,12800.11003112793,1.2900735770134983
AL,2013,"Donepezil Hcl","Donepezil Hcl",5797314,4729528.719968796,0.8158137923819195
AL,2014,"Donepezil Hcl","Donepezil Hcl",5952868,3980649.2081565857,0.668694351723671
AL,2015,"Donepezil Hcl","Donepezil Hcl",6341241,3210466.4643096924,0.5062836224501943
AL,2016,"Donepezil Hcl","Donepezil Hcl",6649382,2850543.024986267,0.428692925896913
AL,2019,"Donepezil Hcl","Donepezil Hcl",6865417,2381816.6576366425,0.3469296413657965
AL,2017,"Donepezil Hcl","Donepezil Hcl",6647425,2300766.3840999603,0.34611392894240406
AL,2018,"Donepezil Hcl","Donepezil Hcl",6760096,2276224.862054825,0.3367148724004548
AL,2020,"Donepezil Hcl","Donepezil Hcl",6948437,2314555.075925827,0.33310441987540895
AL,2020,"Enbrel Mini",Etanercept,18780,4020043.80859375,214.05984071319222
AL,2020,"Enbrel Sureclick",Etanercept,106594,22282277.10546875,209.0387555159648
AL,2020,Enbrel,Etanercept,34060,6995069.25390625,205.37490469483998
AL,2019,"Enbrel Sureclick",Etanercept,107855,21063837.31640625,195.29773600117056
AL,2019,"Enbrel Mini",Etanercept,13262,2541154.34765625,191.61169866206077
AL,2019,Enbrel,Etanercept,37996,7061644.11328125,185.8523032235301
AL,2018,"Enbrel Sureclick",Etanercept,113159,20703887.64453125,182.96280140802986
AL,2018,"Enbrel Mini",Etanercept,1780,313411.2421875,176.07373156601125
AL,2018,Enbrel,Etanercept,38712,6793033.7578125,175.47617683954587
AL,2017,"Enbrel Sureclick",Etanercept,111487,18807997.56640625,168.70126172922627
AL,2017,Enbrel,Etanercept,45331,7269374.140625,160.3620952686903
AL,2016,Enbrel,Etanercept,158646,22703695.80078125,143.10916002156532
AL,2015,Enbrel,Etanercept,178300,21193178.6171875,118.86247121249299
AL,2014,Enbrel,Etanercept,181054,17768652.834960938,98.14007332045101
AL,2013,Enbrel,Etanercept,170574,14563197.850585938,85.37759477168817
AL,2020,Zoloft,"Sertraline Hcl",2112,40411.83935546875,19.134393634218156
AL,2019,Zoloft,"Sertraline Hcl",1093,16284.0498046875,14.898490214718665
AL,2018,Zoloft,"Sertraline Hcl",1752,20456.510009765625,11.676090188222389
AL,2017,Zoloft,"Sertraline Hcl",1451,13560.1201171875,9.345361900198139
AL,2016,Zoloft,"Sertraline Hcl",3582,32632.449951171875,9.110120031036258
AL,2015,Zoloft,"Sertraline Hcl",3461,28567.050048828125,8.253987301019395
AL,2014,Zoloft,"Sertraline Hcl",3882,27571.400268554688,7.102369981595746
AL,2013,Zoloft,"Sertraline Hcl",4590,31374.209838867188,6.8353398341758576
AL,2013,"Sertraline Hcl","Sertraline Hcl",7719289,2024256.2978858948,0.26223351631036157
AL,2014,"Sertraline Hcl","Sertraline Hcl",8055520,1766162.7291107178,0.21924875478066191
AL,2020,"Sertraline Hcl","Sertraline Hcl",10738665,2016311.0082931519,0.18776179425404851
AL,2015,"Sertraline Hcl","Sertraline Hcl",8570896,1552873.8078098297,0.18117986822029222
AL,2019,"Sertraline Hcl","Sertraline Hcl",10231026,1781148.1285524368,0.17409281616061154
AL,2016,"Sertraline Hcl","Sertraline Hcl",9035182,1567925.9487304688,0.17353562426639205
AL,2017,"Sertraline Hcl","Sertraline Hcl",9395934,1550824.751235962,0.16505275060850383
AL,2018,"Sertraline Hcl","Sertraline Hcl",9811833,1597536.8415851593,0.16281736976008043
AL,2020,Trintellix,"Vortioxetine Hydrobromide",308213,4292400.696533203,13.92673474685754
AL,2019,Trintellix,"Vortioxetine Hydrobromide",289618,3819568.3071289062,13.188297368012023
AL,2018,Trintellix,"Vortioxetine Hydrobromide",236478,3071218.21875,12.987331670387944
AL,2017,Trintellix,"Vortioxetine Hydrobromide",177451,2090928.8876953125,11.783133866223986
AL,2017,Brintellix,"Vortioxetine Hydrobromide",356,4099.18994140625,11.514578487096207
AL,2016,Trintellix,"Vortioxetine Hydrobromide",49977,537145.8079833984,10.74786017534863
AL,2016,Brintellix,"Vortioxetine Hydrobromide",34718,353989.8581542969,10.196147766412146
AL,2015,Brintellix,"Vortioxetine Hydrobromide",80839,732717.0888671875,9.063905897737323
AL,2014,Brintellix,"Vortioxetine Hydrobromide",21034,174306.39111328125,8.286887473294724
AL,2020,Ambien,"Zolpidem Tartrate",1080,20510.15966796875,18.990888581452545
AL,2018,Ambien,"Zolpidem Tartrate",2250,41140.05029296875,18.284466796875
AL,2019,Ambien,"Zolpidem Tartrate",1440,25618.9501953125,17.790937635633682
AL,2020,"Ambien Cr","Zolpidem Tartrate",1400,24664.509765625,17.617506975446428
AL,2018,"Ambien Cr","Zolpidem Tartrate",2030,35076.810546875,17.279217018165024
AL,2019,"Ambien Cr","Zolpidem Tartrate",1320,22280.7197265625,16.879333126183713
AL,2017,"Ambien Cr","Zolpidem Tartrate",2840,47894.60009765625,16.86429580903389
AL,2017,Ambien,"Zolpidem Tartrate",720,11836.25,16.43923611111111
AL,2016,Ambien,"Zolpidem Tartrate",1514,23644.509765625,15.617245551931969
AL,2016,"Ambien Cr","Zolpidem Tartrate",3879,60378.98095703125,15.565604783972995
AL,2015,Ambien,"Zolpidem Tartrate",3384,47445.2998046875,14.020478665687795
AL,2015,"Ambien Cr","Zolpidem Tartrate",4080,54516.60009765625,13.361911788641239
AL,2020,Edluar,"Zolpidem Tartrate",360,4689.35986328125,13.025999620225694
AL,2019,Edluar,"Zolpidem Tartrate",330,4193,12.706060606060607
AL,2016,Edluar,"Zolpidem Tartrate",930,11596.65966796875,12.469526524697581
AL,2015,Edluar,"Zolpidem Tartrate",1030,11531.56005859375,11.195689377275485
AL,2014,Ambien,"Zolpidem Tartrate",2896,31878.739990234375,11.007852206572643
AL,2014,"Ambien Cr","Zolpidem Tartrate",5746,62452.62060546875,10.868886287063827
AL,2013,"Ambien Cr","Zolpidem Tartrate",7209,62551.07971191406,8.676803955044258
AL,2015,Intermezzo,"Zolpidem Tartrate",420,3612.139892578125,8.600333077566964
AL,2013,Ambien,"Zolpidem Tartrate",4180,35385.380126953125,8.465401944247159
AL,2014,Intermezzo,"Zolpidem Tartrate",750,5820.2099609375,7.760279947916667
AL,2014,Edluar,"Zolpidem Tartrate",360,2784.68994140625,7.735249837239583
AL,2013,Intermezzo,"Zolpidem Tartrate",405,2843.919921875,7.0220244984567906
AL,2013,Edluar,"Zolpidem Tartrate",360,2429.8798828125,6.749666341145834
AL,2013,"Zolpidem Tartrate Er","Zolpidem Tartrate",128035,496473.8585205078,3.8776417270317323
AL,2014,"Zolpidem Tartrate Er","Zolpidem Tartrate",134853,416796.990234375,3.0907505968304374
AL,2015,"Zolpidem Tartrate Er","Zolpidem Tartrate",95731,225806.66021728516,2.358762158728992
AL,2017,"Zolpidem Tartrate Er","Zolpidem Tartrate",77325,143873.84019470215,1.8606380885186182
AL,2016,"Zolpidem Tartrate Er","Zolpidem Tartrate",79532,146619.65997314453,1.843530402519043
AL,2018,"Zolpidem Tartrate Er","Zolpidem Tartrate",62868,110633.86978912354,1.7597803300426853
AL,2019,"Zolpidem Tartrate Er","Zolpidem Tartrate",49380,83966.00986862183,1.700405222126809
AL,2020,"Zolpidem Tartrate Er","Zolpidem Tartrate",57008,70356.82037353516,1.2341569669789356
AL,2016,"Zolpidem Tartrate","Zolpidem Tartrate",5285661,1410799.4996099472,0.2669107041881701
AL,2015,"Zolpidem Tartrate","Zolpidem Tartrate",5718748,1450405.298754692,0.25362287318040455
AL,2017,"Zolpidem Tartrate","Zolpidem Tartrate",5131845,1111587.8494215012,0.21660588919219134
AL,2019,"Zolpidem Tartrate","Zolpidem Tartrate",4587069,970600.2404766083,0.21159486383932927
AL,2018,"Zolpidem Tartrate","Zolpidem Tartrate",4911497,1025111.1712989807,0.20871664409017876
AL,2014,"Zolpidem Tartrate","Zolpidem Tartrate",6693072,1340635.0911254883,0.20030190787212335
AL,2020,"Zolpidem Tartrate","Zolpidem Tartrate",5324497,978739.7385673523,0.1838182533612757
AL,2013,"Zolpidem Tartrate","Zolpidem Tartrate",8628318,1582028.8285331726,0.18335309715441325
AP,2015,"Atorvastatin Calcium","Atorvastatin Calcium",3094,1576.760009765625,0.5096186198337508
AP,2013,"Atorvastatin Calcium","Atorvastatin Calcium",780,361.0299987792969,0.46285897279397037
AP,2014,"Atorvastatin Calcium","Atorvastatin Calcium",450,136.5500030517578,0.30344445122612845
AP,2016,"Atorvastatin Calcium","Atorvastatin Calcium",13722,3919.2000122070312,0.2856143428222585
