year,state,brand_name,generic_name,sum_total_day_supply,sum_total_drug_cost,avg_drug_cost
2016,WY,"Sertraline Hcl","Sertraline Hcl",772022,136351.08980369568,0.17661554956166492
2017,WY,"Sertraline Hcl","Sertraline Hcl",843744,148686.84998893738,0.17622270497797599
2020,WY,Trintellix,"Vortioxetine Hydrobromide",12939,184224.8388671875,14.237950295014105
2019,WY,Trintellix,"Vortioxetine Hydrobromide",12601,168149.3193359375,13.344125016739742
2018,WY,Trintellix,"Vortioxetine Hydrobromide",10160,133013.8603515625,13.091915388933318
2017,WY,Trintellix,"Vortioxetine Hydrobromide",7376,84386.41088867188,11.440673927422976
2016,WY,Trintellix,"Vortioxetine Hydrobromide",2358,25127.5,10.656276505513146
2016,WY,Brintellix,"Vortioxetine Hydrobromide",1903,19470.8203125,10.231644935627957
2015,WY,Brintellix,"Vortioxetine Hydrobromide",5884,52587.81103515625,8.93742539686544
2014,WY,Brintellix,"Vortioxetine Hydrobromide",898,7224.9501953125,8.045601553800111
2019,WY,"Ambien Cr","Zolpidem Tartrate",364,6386.919921875,17.546483301854394
2018,WY,"Ambien Cr","Zolpidem Tartrate",364,6194.8798828125,17.018900776957416
2013,WY,Ambien,"Zolpidem Tartrate",390,3334.320068359375,8.54953863681891
2013,WY,"Zolpidem Tartrate Er","Zolpidem Tartrate",6359,22988.660095214844,3.6151376152248536
2014,WY,"Zolpidem Tartrate Er","Zolpidem Tartrate",7335,21516.400024414062,2.933387869722435
2015,WY,"Zolpidem Tartrate Er","Zolpidem Tartrate",8010,22861.170043945312,2.8540786571716996
2018,WY,"Zolpidem Tartrate Er","Zolpidem Tartrate",7379,15559.850006103516,2.108666486800856
2019,WY,"Zolpidem Tartrate Er","Zolpidem Tartrate",6652,13321.789947509766,2.002674375753122
2016,WY,"Zolpidem Tartrate Er","Zolpidem Tartrate",10500,20721.90022277832,1.9735143069312686
2017,WY,"Zolpidem Tartrate Er","Zolpidem Tartrate",12104,23175.11004638672,1.9146654037001585
2020,WY,"Zolpidem Tartrate Er","Zolpidem Tartrate",8285,12431.289978027344,1.5004574505766257
2016,WY,"Zolpidem Tartrate","Zolpidem Tartrate",318090,111764.30974578857,0.3513606518462969
2015,WY,"Zolpidem Tartrate","Zolpidem Tartrate",335953,113872.4801235199,0.33895360399674923
2017,WY,"Zolpidem Tartrate","Zolpidem Tartrate",389711,113870.09009361267,0.29219111108901896
2019,WY,"Zolpidem Tartrate","Zolpidem Tartrate",399592,113020.00976467133,0.28283851970177415
2018,WY,"Zolpidem Tartrate","Zolpidem Tartrate",409312,113064.02055358887,0.27622943024780333
2014,WY,"Zolpidem Tartrate","Zolpidem Tartrate",386105,90909.32012939453,0.23545232547984235
2020,WY,"Zolpidem Tartrate","Zolpidem Tartrate",408057,93921.40969657898,0.23016737783343744
2013,WY,"Zolpidem Tartrate","Zolpidem Tartrate",411433,82170.82982635498,0.19971861719005277
