year,state,brand_name,generic_name,sum_total_day_supply,sum_total_drug_cost,avg_drug_cost
2013,UT,Aricept,"Donepezil Hcl",2290,24655.98046875,10.766803698144106
2013,UT,"Donepezil Hcl Odt","Donepezil Hcl",1377,1754.1899719238281,1.2739215482380741
2014,UT,"Donepezil Hcl Odt","Donepezil Hcl",1820,2037.8399963378906,1.1196923056801598
2017,UT,"Donepezil Hcl Odt","Donepezil Hcl",1775,1464.2999801635742,0.8249577353034221
2013,UT,"Donepezil Hcl","Donepezil Hcl",1106762,722193.040058136,0.6525278606042998
2020,UT,"Donepezil Hcl Odt","Donepezil Hcl",3485,2125.3900146484375,0.6098680099421628
2019,UT,"Donepezil Hcl Odt","Donepezil Hcl",1290,723.1799926757812,0.5606046454851017
2016,UT,"Donepezil Hcl Odt","Donepezil Hcl",2160,1096.2999877929688,0.507546290644893
2014,UT,"Donepezil Hcl","Donepezil Hcl",1174801,564130.0206260681,0.48019198198338964
2018,UT,"Donepezil Hcl Odt","Donepezil Hcl",1470,619.6600036621094,0.4215374174572173
2015,UT,"Donepezil Hcl","Donepezil Hcl",1260183,420671.7995376587,0.33381802447553943
2016,UT,"Donepezil Hcl","Donepezil Hcl",1381007,455016.99049949646,0.32948203050346336
2020,UT,"Donepezil Hcl","Donepezil Hcl",1465663,419554.16859436035,0.2862555502829507
2019,UT,"Donepezil Hcl","Donepezil Hcl",1395507,390686.30989837646,0.27996012194734704
2018,UT,"Donepezil Hcl","Donepezil Hcl",1372270,381707.7205104828,0.27815788475335235
2017,UT,"Donepezil Hcl","Donepezil Hcl",1397181,382221.42976379395,0.27356615196155254
2015,UT,"Donepezil Hcl Odt","Donepezil Hcl",2400,623.6699981689453,0.25986249923706056
2020,UT,"Enbrel Sureclick",Etanercept,27882,5763017.43359375,206.6931150417384
2020,UT,Enbrel,Etanercept,18960,3745178.41796875,197.5305072768328
2019,UT,"Enbrel Sureclick",Etanercept,28323,5389638.7421875,190.291944433411
2020,UT,"Enbrel Mini",Etanercept,1092,206290.921875,188.91110061813185
2019,UT,Enbrel,Etanercept,20477,3793345.8828125,185.24910303328124
2019,UT,"Enbrel Mini",Etanercept,1064,192900.40234375,181.2973706238252
2018,UT,"Enbrel Sureclick",Etanercept,26375,4721467.943359375,179.01300259182463
2018,UT,Enbrel,Etanercept,21277,3752740.42578125,176.37544887819007
2017,UT,"Enbrel Sureclick",Etanercept,29318,4855329.41796875,165.60916222009516
2017,UT,Enbrel,Etanercept,22183,3593830.37109375,162.00831136878466
2016,UT,Enbrel,Etanercept,56398,8027030.455078125,142.32828212131858
2015,UT,Enbrel,Etanercept,61732,7184195.029296875,116.37716304828736
2014,UT,Enbrel,Etanercept,60730,5994279.3720703125,98.70376044904187
2013,UT,Enbrel,Etanercept,54419,4632737.76171875,85.13088740547879
2017,UT,Zoloft,"Sertraline Hcl",330,6212.509765625,18.825787168560606
2019,UT,Zoloft,"Sertraline Hcl",345,4597.330078125,13.325594429347825
2016,UT,Zoloft,"Sertraline Hcl",600,6539.8798828125,10.8997998046875
2015,UT,Zoloft,"Sertraline Hcl",540,5320.580078125,9.852926070601852
2014,UT,Zoloft,"Sertraline Hcl",480,4155.35009765625,8.656979370117188
2013,UT,Zoloft,"Sertraline Hcl",720,5414.909912109375,7.520708211263021
2013,UT,"Sertraline Hcl","Sertraline Hcl",2426158,745802.0598144531,0.3074004495232599
2014,UT,"Sertraline Hcl","Sertraline Hcl",2714271,716265.0806350708,0.26388856552461815
2020,UT,"Sertraline Hcl","Sertraline Hcl",4320007,1037908.7588596344,0.24025626783929618
2019,UT,"Sertraline Hcl","Sertraline Hcl",3959713,858605.8395309448,0.21683537153600396
2015,UT,"Sertraline Hcl","Sertraline Hcl",3040906,609681.5404376984,0.20049338599670571
2018,UT,"Sertraline Hcl","Sertraline Hcl",3714302,737676.0902366638,0.1986042304143992
2017,UT,"Sertraline Hcl","Sertraline Hcl",3536775,696611.4193820953,0.19696232284555715
2016,UT,"Sertraline Hcl","Sertraline Hcl",3323802,592059.270231247,0.17812711774986806
2020,UT,Trintellix,"Vortioxetine Hydrobromide",74523,1041982.9990234375,13.982032379579962
2019,UT,Trintellix,"Vortioxetine Hydrobromide",73973,979398.0411376953,13.239939452742153
2018,UT,Trintellix,"Vortioxetine Hydrobromide",61708,802506.8193359375,13.004907294612327
2017,UT,Trintellix,"Vortioxetine Hydrobromide",52360,632224.3056640625,12.074566571124189
2016,UT,Trintellix,"Vortioxetine Hydrobromide",14785,168084.82666015625,11.368605117359232
2016,UT,Brintellix,"Vortioxetine Hydrobromide",11945,129325.9384765625,10.826784301093554
2015,UT,Brintellix,"Vortioxetine Hydrobromide",23306,218383.45971679688,9.370267730060794
2014,UT,Brintellix,"Vortioxetine Hydrobromide",6863,57772.50048828125,8.417965975270473
2020,UT,Ambien,"Zolpidem Tartrate",1200,30625.70947265625,25.521424560546876
2018,UT,Ambien,"Zolpidem Tartrate",2520,56109.10986328125,22.26551978701637
2019,UT,Ambien,"Zolpidem Tartrate",1914,41264.80078125,21.559457043495296
2017,UT,Ambien,"Zolpidem Tartrate",2665,51794.89990234375,19.43523448493199
2020,UT,"Ambien Cr","Zolpidem Tartrate",1080,20612.23974609375,19.08540717230903
2019,UT,"Ambien Cr","Zolpidem Tartrate",1350,22882.86962890625,16.950273799189816
2016,UT,Ambien,"Zolpidem Tartrate",2970,49598.129638671875,16.69970694904777
2017,UT,"Ambien Cr","Zolpidem Tartrate",2460,41018.89990234375,16.674349553798272
2018,UT,"Ambien Cr","Zolpidem Tartrate",1710,28433.86962890625,16.627993935032894
2016,UT,"Ambien Cr","Zolpidem Tartrate",2190,33873.76025390625,15.467470435573631
2015,UT,Ambien,"Zolpidem Tartrate",3807,54018.7197265625,14.189314348978854
2015,UT,"Ambien Cr","Zolpidem Tartrate",2520,34018.86083984375,13.499547952318949
2014,UT,Ambien,"Zolpidem Tartrate",2258,29278.679443359375,12.966642800424879
2019,UT,Edluar,"Zolpidem Tartrate",330,4075.590087890625,12.350272993607955
2014,UT,"Ambien Cr","Zolpidem Tartrate",2940,32335.639892578125,10.998516970264669
2013,UT,Ambien,"Zolpidem Tartrate",2580,25594.9599609375,9.920527116642441
2013,UT,"Ambien Cr","Zolpidem Tartrate",3925,36055.16015625,9.186028065286624
2013,UT,Intermezzo,"Zolpidem Tartrate",330,2317.219970703125,7.0218786991003785
2013,UT,"Zolpidem Tartrate Er","Zolpidem Tartrate",49398,179866.7202758789,3.64117414218954
2014,UT,"Zolpidem Tartrate Er","Zolpidem Tartrate",44861,145361.310546875,3.2402601490576446
2015,UT,"Zolpidem Tartrate Er","Zolpidem Tartrate",49758,134441.03009033203,2.701897787096186
2016,UT,"Zolpidem Tartrate Er","Zolpidem Tartrate",36807,79629.17988586426,2.1634248889033136
2017,UT,"Zolpidem Tartrate Er","Zolpidem Tartrate",53548,99619.58032226562,1.8603791051442748
2018,UT,"Zolpidem Tartrate Er","Zolpidem Tartrate",43633,74202.50970458984,1.7006052690530067
2019,UT,"Zolpidem Tartrate Er","Zolpidem Tartrate",47105,72647.68971252441,1.5422500735065154
2020,UT,"Zolpidem Tartrate Er","Zolpidem Tartrate",47992,58281.87978935242,1.2144082303165615
2016,UT,"Zolpidem Tartrate","Zolpidem Tartrate",2103437,755097.0310554504,0.358982480129165
2015,UT,"Zolpidem Tartrate","Zolpidem Tartrate",2369760,737628.5100231171,0.3112671789645859
2017,UT,"Zolpidem Tartrate","Zolpidem Tartrate",2174730,602882.8303813934,0.27722192197716194
2018,UT,"Zolpidem Tartrate","Zolpidem Tartrate",2529168,616636.1300287247,0.24380987345590513
2019,UT,"Zolpidem Tartrate","Zolpidem Tartrate",2640218,623593.7290830612,0.23619024227660793
2020,UT,"Zolpidem Tartrate","Zolpidem Tartrate",2930903,660213.3600540161,0.22525936888870635
2014,UT,"Zolpidem Tartrate","Zolpidem Tartrate",2549286,546373.8705196381,0.21432427374552643
2013,UT,"Zolpidem Tartrate","Zolpidem Tartrate",3057503,569559.3205947876,0.1862825058862698
